|Επώνυμο      |Όνομα        |Ειδικότητα |Εφημερία Τρέχον Έτος|Πλήθος Επεμβάσεων (Κύριος Χειρουργός)|
|-------------|-------------|-----------|--------------------|-------------------------------------|
|Βαϊραμίδου   |Κυδωνία      |Χειρουργική|ΝΑΙ                 |0                                    |
|Βελεντζάς    |Ίρις         |Χειρουργική|ΝΑΙ                 |0                                    |
|Δαμήλου      |Δάφνη        |Χειρουργική|ΟΧΙ                 |2                                    |
|Δρακόπουλος  |Αβραάμ       |Χειρουργική|ΟΧΙ                 |2                                    |
|Καβούρης     |Θεόπιστος    |Χειρουργική|ΝΑΙ                 |3                                    |
|Καλδή        |Ελπίς        |Χειρουργική|ΟΧΙ                 |1                                    |
|Καμποσάκης   |Παναγιώτα    |Χειρουργική|ΝΑΙ                 |2                                    |
|Κονιάρη      |Παρθένα      |Χειρουργική|ΟΧΙ                 |1                                    |
|Κουρελής     |Ευσταθία     |Χειρουργική|ΟΧΙ                 |0                                    |
|Μανουσοπούλου|Βελισσάριος  |Χειρουργική|ΝΑΙ                 |1                                    |
|Μαργαρίτη    |Πολύβιος     |Χειρουργική|ΝΑΙ                 |0                                    |
|Παπαφώτης    |Ματθίλδη     |Χειρουργική|ΟΧΙ                 |0                                    |
|Πιπερίδη     |Συμεών       |Χειρουργική|ΝΑΙ                 |9                                    |
|Πουλιέζος    |Καλλιόπη     |Χειρουργική|ΝΑΙ                 |1                                    |
|Σιμιτζή      |Τριαντάφυλλος|Χειρουργική|ΝΑΙ                 |0                                    |
|Χρονοπούλου  |Φοίβος       |Χειρουργική|ΟΧΙ                 |1                                    |
