|Επώνυμο    |Όνομα         |Ηλικία|Πλήθος Χειρουργείων|
|-----------|--------------|------|-------------------|
|Μακροπούλου|Τρυφωνία      |33    |10                 |
|Αθανασάκης |Αγλαΐα        |27    |5                  |
|Τζεβελέκος |Ιουλιανός     |29    |3                  |
|Κολτσάκη   |Αρτέμης       |25    |2                  |
|Χριστοφόρη |Χρυσοβαλάντιος|30    |2                  |
|Δρακόπουλος|Αβραάμ        |30    |2                  |
|Σμπονιάς   |Αθηναγόρας    |34    |1                  |
|Λάλας      |Μαλβίνα       |26    |1                  |
|Αθανασιάδου|Θεανώ         |30    |1                  |
