|ID Ιατρου|Επώνυμο      |Όνομα         |Ειδικότητα |Βαθμίδα      |Ιατρικές πράξεις τρέχον έτος|
|---------|-------------|--------------|-----------|-------------|----------------------------|
|25       |Αραπίδου     |Αγαθόνικος    |ΜΕΘ        |Επιμελητής Α΄|1                           |
|71       |Βακαλής      |Μαλαματένια   |Επείγοντα  |Ειδικευόμενος|1                           |
|22       |Δαμήλου      |Αποστολία     |Επείγοντα  |Επιμελητής Α΄|1                           |
|53       |Ευκαρπίδης   |Θεόφιλος      |Καρδιολογία|Επιμελητής Β΄|1                           |
|35       |Καβούρης     |Θεόπιστος     |Χειρουργική|Επιμελητής Β΄|1                           |
|68       |Καλδή        |Ελπίς         |Χειρουργική|Ειδικευόμενος|1                           |
|43       |Καμποσάκης   |Παναγιώτα     |Χειρουργική|Επιμελητής Β΄|1                           |
|10       |Καραντάνα    |Άνθιμος       |Καρδιολογία|Διευθυντής   |1                           |
|60       |Καφαντάρη    |Βησσαρίων     |ΜΕΘ        |Ειδικευόμενος|1                           |
|27       |Κολτσάκη     |Αρτέμης       |Καρδιολογία|Επιμελητής Α΄|1                           |
|50       |Κωστούλας    |Γαρυφαλλιά    |Επείγοντα  |Επιμελητής Β΄|1                           |
|13       |Κώττας       |Λαμπρινή      |Καρδιολογία|Επιμελητής Α΄|1                           |
|79       |Μαράκη       |Γαλάτιος      |Καρδιολογία|Ειδικευόμενος|1                           |
|33       |Μασίκα       |Σμαράγδα      |Καρδιολογία|Επιμελητής Β΄|1                           |
|45       |Νασίκας      |Σαββούλα      |Καρδιολογία|Επιμελητής Β΄|1                           |
|69       |Παντζαρτζίδης|Μικές         |Επείγοντα  |Ειδικευόμενος|1                           |
|80       |Πικρός       |Δαμασκηνός    |Καρδιολογία|Ειδικευόμενος|1                           |
|32       |Πουλιέζος    |Καλλιόπη      |Χειρουργική|Επιμελητής Β΄|1                           |
|66       |Σπηλιάδου    |Φλωρεντία     |ΜΕΘ        |Ειδικευόμενος|1                           |
|59       |Τζιόβα       |Αφέντρα       |Επείγοντα  |Ειδικευόμενος|1                           |
|54       |Τσέλλος      |Περιστέρα     |ΜΕΘ        |Επιμελητής Β΄|1                           |
|57       |Χριστοφόρη   |Χρυσοβαλάντιος|Καρδιολογία|Ειδικευόμενος|1                           |
|56       |Αθανασιάδου  |Θεανώ         |ΜΕΘ        |Ειδικευόμενος|0                           |
|38       |Ανδριώτης    |Μενέλαος      |Επείγοντα  |Επιμελητής Β΄|0                           |
|78       |Αργυράκη     |Ανθή          |ΜΕΘ        |Ειδικευόμενος|0                           |
|20       |Βαϊραμίδου   |Κυδωνία       |Χειρουργική|Επιμελητής Α΄|0                           |
|16       |Βαρσάμου     |Εριέτα        |Καρδιολογία|Επιμελητής Α΄|0                           |
|31       |Βασιλείου    |Παρασκευάς    |Καρδιολογία|Επιμελητής Β΄|0                           |
|21       |Βελεντζάς    |Ίρις          |Χειρουργική|Επιμελητής Α΄|0                           |
