|Επώνυμο Ιατρού|Όνομα Ιατρού  |Βαθμίδα Ιατρού|Επίπεδο Εποπτείας|Επώνυμο Επόπτη|Όνομα Επόπτη |Βαθμίδα Επόπτη|
|--------------|--------------|--------------|-----------------|--------------|-------------|--------------|
|Τζεβελέκος    |Ιουλιανός     |Επιμελητής Α΄ |1                |Γεροδήμος     |Ιγνάτιος     |Διευθυντής    |
|Κασκαούτη     |Μερκούριος    |Επιμελητής Α΄ |1                |Μακροπούλου   |Τρυφωνία     |Διευθυντής    |
|Κώττας        |Λαμπρινή      |Επιμελητής Α΄ |1                |Μακροπούλου   |Τρυφωνία     |Διευθυντής    |
|Μποτσώλης     |Γραμματική    |Επιμελητής Α΄ |1                |Τυμβίου       |Καλλιρόη     |Διευθυντής    |
|Νικολόπουλος  |Φεβρωνία      |Επιμελητής Α΄ |1                |Δημητρίου     |Θεοφάνης     |Διευθυντής    |
|Βαρσάμου      |Εριέτα        |Επιμελητής Α΄ |1                |Νικολάτου     |Ιορδάνης     |Διευθυντής    |
|Λυμπέρης      |Αφροδίτη      |Επιμελητής Α΄ |1                |Νικολάτου     |Ιορδάνης     |Διευθυντής    |
|Περπινιάς     |Θεόφραστος    |Επιμελητής Α΄ |1                |Γεροδήμος     |Ιγνάτιος     |Διευθυντής    |
|Παπαθανασίου  |Αγαθόνικος    |Επιμελητής Α΄ |1                |Γεροδήμος     |Ιγνάτιος     |Διευθυντής    |
|Βαϊραμίδου    |Κυδωνία       |Επιμελητής Α΄ |1                |Τυμβίου       |Καλλιρόη     |Διευθυντής    |
|Βελεντζάς     |Ίρις          |Επιμελητής Α΄ |1                |Πιπερίδη      |Συμεών       |Διευθυντής    |
|Δαμήλου       |Αποστολία     |Επιμελητής Α΄ |1                |Τυμβίου       |Καλλιρόη     |Διευθυντής    |
|Δαρσακλή      |Ιγνατία       |Επιμελητής Α΄ |1                |Λυρή          |Πάτροκλος    |Διευθυντής    |
|Μανουσοπούλου |Βελισσάριος   |Επιμελητής Α΄ |1                |Δημητρίου     |Φλώρα        |Διευθυντής    |
|Αραπίδου      |Αγαθόνικος    |Επιμελητής Α΄ |1                |Νικολάτου     |Ιορδάνης     |Διευθυντής    |
|Αθανασάκης    |Αγλαΐα        |Επιμελητής Α΄ |1                |Δημητρίου     |Θεοφάνης     |Διευθυντής    |
|Κολτσάκη      |Αρτέμης       |Επιμελητής Α΄ |1                |Πιπερίδη      |Συμεών       |Διευθυντής    |
|Ενωτιάδη      |Πολύκαρπος    |Επιμελητής Α΄ |1                |Δημητρίου     |Θεοφάνης     |Διευθυντής    |
|Μαργαρίτη     |Πολύβιος      |Επιμελητής Α΄ |1                |Γεροδήμος     |Ιγνάτιος     |Διευθυντής    |
|Νάστος        |Δρόσος        |Επιμελητής Α΄ |1                |Λυρή          |Πάτροκλος    |Διευθυντής    |
|Βασιλείου     |Παρασκευάς    |Επιμελητής Β΄ |1                |Νάστος        |Δρόσος       |Επιμελητής Α΄ |
|Βασιλείου     |Παρασκευάς    |Επιμελητής Β΄ |2                |Λυρή          |Πάτροκλος    |Διευθυντής    |
|Πουλιέζος     |Καλλιόπη      |Επιμελητής Β΄ |1                |Ενωτιάδη      |Πολύκαρπος   |Επιμελητής Α΄ |
|Πουλιέζος     |Καλλιόπη      |Επιμελητής Β΄ |2                |Δημητρίου     |Θεοφάνης     |Διευθυντής    |
|Μασίκα        |Σμαράγδα      |Επιμελητής Β΄ |1                |Αθανασάκης    |Αγλαΐα       |Επιμελητής Α΄ |
|Μασίκα        |Σμαράγδα      |Επιμελητής Β΄ |2                |Δημητρίου     |Θεοφάνης     |Διευθυντής    |
|Λάλας         |Μαλβίνα       |Επιμελητής Β΄ |1                |Δαρσακλή      |Ιγνατία      |Επιμελητής Α΄ |
|Λάλας         |Μαλβίνα       |Επιμελητής Β΄ |2                |Λυρή          |Πάτροκλος    |Διευθυντής    |
|Καβούρης      |Θεόπιστος     |Επιμελητής Β΄ |1                |Περπινιάς     |Θεόφραστος   |Επιμελητής Α΄ |
|Καβούρης      |Θεόπιστος     |Επιμελητής Β΄ |2                |Γεροδήμος     |Ιγνάτιος     |Διευθυντής    |
|Βασιλειάδη    |Διομήδης      |Επιμελητής Β΄ |1                |Περπινιάς     |Θεόφραστος   |Επιμελητής Α΄ |
|Βασιλειάδη    |Διομήδης      |Επιμελητής Β΄ |2                |Γεροδήμος     |Ιγνάτιος     |Διευθυντής    |
|Μαργαριτάκη   |Θέτις         |Επιμελητής Β΄ |1                |Νάστος        |Δρόσος       |Επιμελητής Α΄ |
|Μαργαριτάκη   |Θέτις         |Επιμελητής Β΄ |2                |Λυρή          |Πάτροκλος    |Διευθυντής    |
|Ανδριώτης     |Μενέλαος      |Επιμελητής Β΄ |1                |Νάστος        |Δρόσος       |Επιμελητής Α΄ |
|Ανδριώτης     |Μενέλαος      |Επιμελητής Β΄ |2                |Λυρή          |Πάτροκλος    |Διευθυντής    |
|Κουτσοβίδου   |Ρόζα          |Επιμελητής Β΄ |1                |Δημητρίου     |Θεοφάνης     |Διευθυντής    |
|Θεοχάρης      |Βαλεντίνα     |Επιμελητής Β΄ |1                |Λογκάκη       |Κλεονίκη     |Διευθυντής    |
|Ορφανάκης     |Σπυριδούλα    |Επιμελητής Β΄ |1                |Μακροπούλου   |Τρυφωνία     |Διευθυντής    |
|Πιπεράκης     |Άνθιμος       |Επιμελητής Β΄ |1                |Αραπίδου      |Αγαθόνικος   |Επιμελητής Α΄ |
|Πιπεράκης     |Άνθιμος       |Επιμελητής Β΄ |2                |Νικολάτου     |Ιορδάνης     |Διευθυντής    |
|Καμποσάκης    |Παναγιώτα     |Επιμελητής Β΄ |1                |Καραντάνα     |Άνθιμος      |Διευθυντής    |
|Καρκανάκη     |Γιολάντα      |Επιμελητής Β΄ |1                |Μποτσώλης     |Γραμματική   |Επιμελητής Α΄ |
|Καρκανάκη     |Γιολάντα      |Επιμελητής Β΄ |2                |Τυμβίου       |Καλλιρόη     |Διευθυντής    |
|Νασίκας       |Σαββούλα      |Επιμελητής Β΄ |1                |Τζεβελέκος    |Ιουλιανός    |Επιμελητής Α΄ |
|Νασίκας       |Σαββούλα      |Επιμελητής Β΄ |2                |Γεροδήμος     |Ιγνάτιος     |Διευθυντής    |
|Χρονοπούλου   |Φοίβος        |Επιμελητής Β΄ |1                |Αθανασάκης    |Αγλαΐα       |Επιμελητής Α΄ |
|Χρονοπούλου   |Φοίβος        |Επιμελητής Β΄ |2                |Δημητρίου     |Θεοφάνης     |Διευθυντής    |
|Πολίτου       |Άνθιμος       |Επιμελητής Β΄ |1                |Νάστος        |Δρόσος       |Επιμελητής Α΄ |
|Πολίτου       |Άνθιμος       |Επιμελητής Β΄ |2                |Λυρή          |Πάτροκλος    |Διευθυντής    |
|Μανουσοπούλου |Ραχήλ         |Επιμελητής Β΄ |1                |Τυμβίου       |Καλλιρόη     |Διευθυντής    |
|Γκατζογιάννης |Χρυσοβαλάντω  |Επιμελητής Β΄ |1                |Νικολόπουλος  |Φεβρωνία     |Επιμελητής Α΄ |
|Γκατζογιάννης |Χρυσοβαλάντω  |Επιμελητής Β΄ |2                |Δημητρίου     |Θεοφάνης     |Διευθυντής    |
|Κωστούλας     |Γαρυφαλλιά    |Επιμελητής Β΄ |1                |Κασκαούτη     |Μερκούριος   |Επιμελητής Α΄ |
